island,plotid,total_cover,C,EC,K,Na,N,rock_ratio
¾SÀYÀ¬,ct01,85,3.08,127.3,1.51,5.72,0.25,5
¾SÀYÀ¬,ct02,50,2.79,31.1,1.46,2.09,0.22,35
¾SÀYÀ¬,ct03,70,3.54,40.6,2.19,2.57,0.32,20
¾SÀYÀ¬,ct04,80,2.62,108.5,2.25,6.16,0.21,1
¾SÀYÀ¬,ct05,90,4.72,53.1,3.75,3.17,0.41,0
ªF¦NÀ¬,dg01,40,3.49,220.5,5.95,1.1,0.31,10
ªF¦NÀ¬,dg02,50,3.26,123,3.08,1.72,0.27,25
ªF¦NÀ¬,dg03,85,5.37,198,3.86,2.02,0.44,10
ªF¦NÀ¬,dg04,80,2.74,170.5,0.96,1.4,0.09,0
ªF¦NÀ¬,dg05,90,2.07,188,2.15,1.53,0.12,0
ªF¦NÀ¬,dg06,65,7.42,160,2.55,0.88,0.27,0
ªF¦NÀ¬,dg07,90,9.41,165.5,1.41,1.1,0.19,1
ªF¦NÀ¬,dg08,80,5.19,146.9,2.74,1.49,0.42,0
ªF¦NÀ¬,dg09,40,4,165.6,3.65,2.1,0.29,10
ªF¦NÀ¬,dg10,70,3.62,70.9,1.25,0.66,0.19,0
ªF¦NÀ¬,dg11,99,3.63,118.6,1.29,1.41,0.17,0
ªF¦NÀ¬,dg12,80,2.62,114,0.38,0.98,0.11,0
ªF¦NÀ¬,dg13,90,2.67,39.8,1.02,0.7,0.2,0
ªF¦NÀ¬,dg14,70,3.46,73.2,1.37,0.47,0.16,0
ªF¦NÀ¬,dg15,50,2.39,64,2.1,1.43,0.17,1
ªF¦NÀ¬,dg16,95,8.93,104.3,1.96,0.55,0.18,30
ªF¦NÀ¬,dg17,50,8.5,74.9,0.38,0.7,0.03,
ªF¦NÀ¬,dg18,60,3.85,67.3,3.91,0.74,0.32,0
ªF¦NÀ¬,dg19,80,7.88,91.6,2.02,0.4,0.32,1
ªF¦NÀ¬,dg20,60,4.57,86.4,3.05,0.5,0.23,
ªF¦NÀ¬,dg21,80,3.59,114.6,2.03,0.86,0.17,0
ªF¦NÀ¬,dg22,90,3.52,56.3,1.83,0.48,0.33,10
ªF¦NÀ¬,dg23,99,8.83,59.9,0.41,0.8,0.14,0
ªF¦NÀ¬,dg24,60,8.15,60.9,2.25,2.66,0.12,25
ªFÀ¬©WÀ¬,dy01,60,2.11,270.4,1.76,2.1,0.24,35
ªFÀ¬©WÀ¬,dy02,70,2.95,154.5,2.79,1.88,0.32,10
ªFÀ¬©WÀ¬,dy03,85,2.96,149,2.18,1.11,0.23,1
ªFÀ¬©WÀ¬,dy04,70,3.1,132,0.65,0.66,0.08,3
ªFÀ¬©WÀ¬,dy05,50,3.76,307.1,1.68,2.24,0.33,40
ªFÀ¬©WÀ¬,dy06,25,0.59,149.7,1.59,5.01,0.01,50
ªFÀ¬©WÀ¬,dy07,95,1.08,111.5,1.85,4.82,0.07,1
ªFÀ¬©WÀ¬,dy08,80,1.01,50.5,1.03,1.1,0.08,10
ªFÀ¬©WÀ¬,dy09,60,4.44,104,2.09,0.87,0.28,1
ªFÀ¬©WÀ¬,dy10,80,2.04,38.2,1.53,1.37,0.15,1
ªFÀ¬©WÀ¬,dy11,50,4.33,194.6,1.18,3.81,0.32,0
ªFÀ¬©WÀ¬,dy12,80,4.3,80.6,1.62,0.66,0.18,0
ªFÀ¬©WÀ¬,dy13,90,4.98,86.3,1.43,0.68,0.16,0
ªFÀ¬©WÀ¬,dy14,90,5.14,91.4,1.54,0.41,0.28,0
ªFÀ¬©WÀ¬,dy15,85,0.79,74.3,1.44,1.55,0.02,0
ªFÀ¬©WÀ¬,dy16,95,2.15,105.9,2.17,1.82,0.14,20
ªFÀ¬©WÀ¬,dy17,90,1.79,41.1,1.32,2.49,0.13,15
ªFÀ¬©WÀ¬,dy18,99,1.48,103.4,1.89,3.83,0.07,5
¦è¦NÀ¬,sg01,95,1.95,3644,2.32,32.26,0.12,0
¦è¦NÀ¬,sg02,55,1.03,771,1.93,9.84,0.06,40
¦è¦NÀ¬,sg03,50,2.37,2036,1.74,22.29,0.18,35
¦è¦NÀ¬,sg04,55,1.35,1425,2.76,15.9,0.08,20
¦è¦NÀ¬,sg05,98,1.63,635,1.66,7.94,0.1,0
¦è¦NÀ¬,sg06,90,5.77,411.3,2.41,4.26,0.34,0
¦è¦NÀ¬,sg07,75,9.34,244.9,1.3,1.72,0.03,1
¦è¦NÀ¬,sg08,55,7.91,209.2,0.78,1.24,0.13,1
¦è¦NÀ¬,sg09,95,8.63,446,1.07,3.32,0.23,0
¦è¦NÀ¬,sg10,50,5.48,231.4,1.36,2.41,0.18,0
¦è¦NÀ¬,sg11,5,8.05,331.1,4.17,3.27,0.58,50
¦è¦NÀ¬,sg12,80,2.89,74.1,2.01,3.87,0.21,5
¦è¦NÀ¬,sg13,85,2.65,107.3,1.92,2.39,0.18,1
¦è¦NÀ¬,sg14,70,2.69,119.8,1.87,3.3,0.19,1
¦è¦NÀ¬,sg15,95,6.66,49.1,1.95,8.85,0.45,0
¦è¦NÀ¬,sg16,95,7.28,61.2,1.83,11.27,0.55,0
¦è¦NÀ¬,sg17,95,4.89,385.7,1.04,5.11,0.38,0
¦è¦NÀ¬,sg18,75,6.89,86.2,0.48,1.02,0.15,5
¦è¦NÀ¬,sg19,99,5.76,80.5,1.3,0.76,0.24,0
¦è¦NÀ¬,sg20,85,3.26,26.7,1.44,1.09,0.26,0
¦è¦NÀ¬,sg21,90,4.61,43.5,1.75,0.99,0.42,1
¦è¦NÀ¬,sg22,80,5.05,58.4,0.98,6.34,0.11,15
¦èÀ¬©WÀ¬,sy01,85,2.82,258.1,1.96,3.27,0.17,15
¦èÀ¬©WÀ¬,sy02,75,1.83,335.8,2.08,4.85,0.1,5
¦èÀ¬©WÀ¬,sy03,50,3.79,258.7,1.88,2.88,0.27,0
¦èÀ¬©WÀ¬,sy04,35,6.98,137.5,1.91,1.13,0.64,0
¦èÀ¬©WÀ¬,sy05,80,3.02,110,2.36,1.44,0.25,0
¦èÀ¬©WÀ¬,sy06,75,4.65,91.4,3.34,6.34,0.42,1
¦èÀ¬©WÀ¬,sy07,70,3.14,43.4,2.61,2.45,0.28,0
¦èÀ¬©WÀ¬,sy08,60,1.9,36.4,2.29,4.55,0.2,2
¦èÀ¬©WÀ¬,sy09,90,2.36,154.8,2.13,0.94,0.26,10
¦èÀ¬©WÀ¬,sy10,85,3.45,139.1,2.47,1.47,0.3,5
¦èÀ¬©WÀ¬,sy11,40,3.83,71.1,3.87,1.61,0.37,0
¦èÀ¬©WÀ¬,sy12,35,2.16,56.8,2.57,2.12,0.22,
